Prov/Terr,CD/DR,CSD/SDR,CMA-CA/RMR-AR,Classification,Description,Total - Taxable Returns/Total - Déclarations imposables,Total Income - Taxable Returns/Revenu total - Déclarations imposables,Total Tax - Taxable Returns/Impôt total- Déclarations imposables,Average Income - Taxable Returns/  Revenu moyen - Déclarations imposables,Total - All Returns/Total - Toutes les déclarations,Total Income - All Returns/Revenu total - Toutes les déclarations ,"Under $10,000 - All Returns/Moins de 10 000$ - Toutes les déclarations ","$10,000 to $14,999 - All Returns/10 000$ à 14 999$ - Toutes les déclarations ","$15,000 to $19,999 - All Returns/15 000$ à 19 999$ - Toutes les déclarations","$20,000 to $24,999 - All Returns/20 000$ à 24 999$ - Toutes les déclarations ","$25,000 to $29,999 - All Returns/25 000$ à 29 999$ - Toutes les déclarations","$30,000 to $34,999 - All Returns/30 000$ à 34 999$ - Toutes les déclarations ","$35,000 to $39,999 - All Returns/35 000$ à 39 999$ - Toutes les déclarations","$40,000 to $44,999 - All Returns/40 000$ à 44 999$ - Toutes les déclarations ","$45,000 to $49,999 - All Returns/45 000$ à 49 999$ - Toutes les déclarations","$50,000 to $59,999 - All Returns/50 000$ à 59 999$ - Toutes les déclarations ","$60,000 to $69,999 - All Returns/60 000$ à 69 999$ - Toutes les déclarations ","$70,000 to $79,999 - All Returns/70 000$ à 79 999$ - Toutes les déclarations ","$80,000 to $89,999 - All Returns/80 000$ à 89 999$ - Toutes les déclarations ","$90,000 to $99,999 - All Returns/90 000$ à 99 999$ - Toutes les déclarations ","$100,000 to $149,999 - All Returns/100 000$ à 149 999$ - Toutes les déclarations ","$150,000 to $249,999 - All Returns/150 000$ à 249 999$ - Toutes les déclarations ","$250,000 and over - All Returns/250 000$ et plus - Toutes les déclarations ",Average Income - All Returns/  Revenu moyen - Toutes les déclarations
10,0,0,1,CMA/RMR     ,St. John's,108880,6105018000,1134392000,56000,153060,6559028000,23170,14880,13870,11530,10430,9920,9820,8380,7270,11190,8070,6610,4880,3150,6390,2440,1060,43000
10,0,0,0,TOTAL       ,Total (CMA/RMR),108880,6105018000,1134392000,56000,153060,6559028000,23170,14880,13870,11530,10430,9920,9820,8380,7270,11190,8070,6610,4880,3150,6390,2440,1060,43000
10,0,0,5,CA/AR       ,Bay Roberts,5370,237340000,37604000,44000,8750,273670000,1600,1230,1180,800,650,610,480,370,270,440,290,260,210,100,210,60,10,31000
10,0,0,10,CA/AR       ,Grand Falls-Windsor,7780,363345000,58577000,47000,11480,402495000,1780,1360,1460,1040,870,740,750,600,450,660,470,420,290,170,280,100,40,35000
10,0,0,15,CA/AR       ,Corner Brook,15930,739477000,119278000,46000,23360,819676000,3550,2560,2940,2160,1830,1650,1600,1170,990,1400,1080,820,570,300,490,170,80,35000
10,0,0,0,TOTAL       ,Total (CA/AR),29070,1340161000,215459000,46000,43590,1495840000,6930,5150,5580,4000,3350,3000,2830,2140,1700,2490,1840,1500,1070,570,980,320,140,34000
10,1,113,0,OUT/EXT     ,Trepassey,500,20372000,2986000,41000,800,23631000,150,100,140,80,50,70,40,30,20,40,20,20,20,10,20,,,30000
10,1,120,0,OUT/EXT     ,St. Shott's,60,2768000,431000,44000,90,3110000,,20,10,10,,,,,,,,,,,,,,33000
10,1,124,0,OUT/EXT     ,"Division No. 1, Subd. U",760,33131000,5094000,44000,1110,36970000,170,110,150,120,70,70,80,80,50,70,40,40,20,10,20,,,33000
10,1,126,0,OUT/EXT     ,Cape Broyle,410,17346000,2557000,42000,640,19871000,100,90,100,60,50,60,50,30,20,30,20,10,10,,10,10,,31000
10,1,131,0,OUT/EXT     ,Renews-Cappahayden,210,8529000,1183000,40000,310,9640000,40,40,50,40,30,30,20,,10,10,10,,,,10,,,31000
10,1,136,0,OUT/EXT     ,Fermeuse,230,9603000,1354000,42000,350,10979000,50,50,50,30,40,20,30,20,,10,10,,,,10,,,32000
10,1,144,0,OUT/EXT     ,Aquaforte,30,1072000,157000,37000,50,1263000,10,10,,,,,,,,,,,,,,,,24000
10,1,149,0,OUT/EXT     ,Ferryland,320,14461000,2375000,45000,490,16342000,60,70,80,60,30,40,30,20,10,30,10,20,,,10,,,33000
10,1,169,0,OUT/EXT     ,St. Vincent's St. Stephen's Peter's River,180,6842000,1073000,38000,310,8446000,40,70,60,30,20,10,20,10,,10,10,,,,,,,27000
10,1,178,0,OUT/EXT     ,St. Mary's,570,24273000,3963000,43000,930,28401000,140,170,140,80,70,60,50,30,40,30,20,20,,10,40,,,30000
10,1,192,0,OUT/EXT     ,St. Joseph's,100,4282000,647000,42000,150,4836000,20,20,20,10,10,10,10,10,,,,,,,,,,33000
10,1,197,0,OUT/EXT     ,Mount Carmel-Mitchells Brook-St. Catherines,440,18705000,3103000,43000,680,21348000,100,100,110,70,50,50,40,40,20,40,20,,,10,20,,,32000
10,1,203,0,OUT/EXT     ,"Division No. 1, Subd. X",40,1751000,262000,42000,70,2127000,10,,10,,,,,,,,,,,,,,,29000
10,1,207,0,OUT/EXT     ,Colinet,80,3786000,627000,47000,130,4308000,20,20,10,,10,10,,,,,,,,,,,,33000
10,1,219,0,OUT/EXT     ,Branch,210,8233000,1204000,39000,320,9524000,40,40,40,30,40,30,30,20,,10,10,,,,,,,29000
10,1,228,0,OUT/EXT     ,St. Bride's,200,7545000,1126000,37000,330,8862000,60,40,50,40,40,30,30,,,,10,,,,,,,27000
10,1,234,0,OUT/EXT     ,"Division No. 1, Subd. B",60,2773000,472000,45000,90,3093000,20,10,10,,,,,,,,,,,,,,,33000
10,1,240,0,OUT/EXT     ,Placentia,2230,97961000,15898000,44000,3450,110855000,600,410,490,340,250,220,210,170,140,180,110,80,80,40,100,20,,32000
10,1,254,0,OUT/EXT     ,Fox Harbour,140,5180000,729000,36000,260,6404000,50,40,40,20,20,20,,,10,,,,,,,,,25000
10,1,259,0,OUT/EXT     ,"Division No. 1, Subd. A",260,9876000,1456000,39000,420,11761000,70,90,60,40,20,30,30,30,,10,,,,,10,,,28000
10,1,263,0,OUT/EXT     ,Long Harbour-Mount Arlington Heights,190,10176000,1850000,53000,280,11036000,40,30,30,30,20,20,10,20,10,10,10,10,,10,20,,,40000
10,1,267,0,OUT/EXT     ,Southern Harbour,260,10514000,1675000,41000,400,12275000,50,60,50,50,40,20,30,20,10,10,10,,,,10,,,31000
10,1,270,0,OUT/EXT     ,Arnold's Cove,580,27761000,4842000,48000,860,30715000,120,100,120,110,60,60,40,40,30,30,30,30,20,20,40,,,36000
10,1,274,0,OUT/EXT     ,Come By Chance,180,9165000,1705000,50000,310,10452000,60,50,40,30,30,20,10,,,20,10,10,,,10,,,34000
10,1,277,0,OUT/EXT     ,Sunnyside,240,11689000,2073000,49000,370,12917000,60,50,50,40,20,30,20,10,10,10,,10,20,,20,,,35000
10,1,281,0,OUT/EXT     ,Chance Cove,160,6513000,972000,40000,290,7825000,60,50,40,30,30,20,10,,,10,,,,,,,,27000
10,1,285,0,OUT/EXT     ,Norman's Cove-Long Cove,360,14655000,2201000,41000,620,17315000,120,90,110,60,30,40,30,20,30,30,10,10,,,20,,,28000
10,1,289,0,OUT/EXT     ,Chapel Arm,260,10912000,1728000,42000,410,12539000,80,50,50,40,30,30,20,20,10,20,10,10,,,20,,,31000
10,1,293,0,OUT/EXT     ,"Division No. 1, Subd. Y",560,22903000,3383000,41000,890,26402000,160,110,130,80,80,60,60,40,40,50,30,20,10,,20,,,30000
10,1,298,0,OUT/EXT     ,Whitbourne,660,26888000,3893000,41000,1020,30792000,160,120,150,120,100,70,70,50,40,40,40,20,20,10,20,,,30000
10,1,304,0,OUT/EXT     ,"Division No. 1, Subd. E",1480,58874000,8650000,40000,2440,69010000,440,380,390,260,190,160,130,90,80,90,70,50,30,30,50,10,,28000
10,1,308,0,OUT/EXT     ,Whiteway,150,5904000,782000,40000,270,7269000,60,40,50,30,20,20,20,10,,10,,,,,,,,27000
10,1,312,0,OUT/EXT     ,Heart's Delight-Islington,350,13880000,1883000,40000,630,16877000,130,100,110,50,50,30,40,30,20,30,10,,,,,,,27000
10,1,316,0,OUT/EXT     ,Heart's Desire,100,2984000,381000,30000,210,4150000,40,50,40,20,10,,,,,,,,,,,,,20000
10,1,321,0,OUT/EXT     ,"Division No. 1, Subd. F",280,9671000,1251000,34000,460,11695000,60,80,70,70,60,20,20,10,,10,10,10,,,,,,26000
10,1,325,0,OUT/EXT     ,Heart's Content,210,8064000,1038000,38000,330,9485000,40,40,60,40,40,20,20,20,,10,10,,,,,,,29000
10,1,328,0,OUT/EXT     ,New Perlican,100,3197000,401000,31000,170,4043000,30,30,40,20,10,20,,,,,,,,,,,,23000
10,1,332,0,OUT/EXT     ,Winterton,260,9371000,1251000,36000,460,11645000,70,90,110,50,30,30,20,10,,20,,,,,,,,26000
10,1,335,0,OUT/EXT     ,Hant's Harbour,180,6095000,804000,33000,320,7787000,40,50,80,40,30,20,20,,,10,,,,,,,,24000
10,1,339,0,OUT/EXT     ,"Division No. 1, Subd. G",1110,38749000,5315000,35000,1750,45984000,250,290,310,220,190,120,80,60,50,50,40,30,20,20,10,,,26000
10,1,343,0,OUT/EXT     ,Old Perlican,410,15599000,2313000,38000,570,17422000,60,70,80,90,70,50,40,30,20,30,10,,,,,,,31000
10,1,347,0,OUT/EXT     ,Bay de Verde,260,9062000,1252000,35000,400,10743000,40,70,60,70,40,30,30,20,10,,,,,,,,,27000
10,1,352,0,OUT/EXT     ,Small Point-Adam's Cove-Blackhead-Broad Cove,210,7436000,1049000,36000,300,8504000,40,50,50,30,30,20,20,10,10,20,,,,,,,,28000
10,1,361,0,OUT/EXT     ,Salmon Cove,400,16298000,2439000,41000,620,18611000,100,100,100,60,40,40,30,20,20,30,10,20,10,10,,,,30000
10,1,365,0,OUT/EXT     ,Victoria,930,37913000,5848000,41000,1560,44448000,290,240,220,160,120,100,100,50,50,60,50,50,20,20,30,,,28000
10,1,370,0,OUT/EXT     ,Carbonear,2780,122727000,20184000,44000,4590,143133000,750,730,730,400,330,260,240,180,170,210,150,150,90,50,100,30,,31000
10,1,374,0,OUT/EXT     ,"Division No. 1, Subd. I",330,13540000,2069000,41000,550,15525000,120,70,60,50,50,50,40,30,10,10,10,10,20,,,,,28000
10,1,379,0,OUT/EXT     ,Harbour Grace,1590,70725000,11457000,44000,2610,81316000,470,400,340,240,200,170,140,110,80,120,80,80,40,40,70,20,,31000
10,1,405,0,OUT/EXT     ,"Division No. 1, Subd. K",240,12009000,2019000,49000,350,12868000,60,40,50,30,20,30,20,20,20,20,10,10,10,,10,,,37000
10,1,415,0,OUT/EXT     ,"Division No. 1, Subd. L",320,13452000,1972000,43000,460,15079000,70,50,70,40,30,30,30,30,30,20,10,10,10,,10,,,33000
10,1,421,0,OUT/EXT     ,"Division No. 1, Subd. M",220,8927000,1387000,40000,400,10828000,80,70,60,40,20,30,10,10,20,20,20,,,,,,,27000
10,1,429,0,OUT/EXT     ,Clarke's Beach,1220,57015000,9342000,47000,1920,64537000,330,260,240,160,150,120,90,100,70,110,80,70,40,30,40,20,,34000
10,1,434,0,OUT/EXT     ,South River,330,15249000,2542000,46000,520,17386000,80,60,80,40,30,40,30,30,20,30,20,,20,,10,,,33000
10,1,437,0,OUT/EXT     ,Cupids,320,12839000,1901000,40000,510,14763000,90,80,80,40,40,30,30,30,20,30,10,10,10,,10,,,29000
10,1,446,0,OUT/EXT     ,Brigus,370,17437000,3115000,48000,670,20702000,140,110,90,70,50,40,30,30,20,30,20,10,10,,10,,,31000
10,1,452,0,OUT/EXT     ,"Division No. 1, Subd. O",520,21607000,3465000,41000,840,25030000,140,130,120,60,70,60,40,50,30,50,30,20,10,10,20,,,30000
10,1,456,0,OUT/EXT     ,Colliers,360,16839000,2815000,47000,550,19009000,90,60,80,60,40,40,30,30,30,20,20,20,20,10,20,,,34000
10,1,461,0,OUT/EXT     ,Conception Harbour,390,18931000,3138000,49000,620,21394000,110,80,80,50,40,40,30,40,30,40,30,30,10,20,30,,,34000
