PROVINCE,CODE,,EI ECONOMIC NAME,JANUARY 8 to FEBRUARY 4,FEBRUARY 5 to MARCH 10,MARCH 11 to APRIL 7,APRIL 8 to MAY 12,MAY 13 to JUNE 9,JUNE 10 to JULY 7,JULY 8 to AUGUST 11,AUGUST 12 to SEPTEMBER 8,SEPTEMBER 9 to OCTOBER 6,latitude,longitude,name,desc,,source,precision
Nfld.,1,,ST. JOHN'S,6,5.6,5.4,5.1,5.8,6.3,6.7,6.6,6.6,29.9078503,-81.3842392,ST. JOHN'S,St Johns,,Bing Maps,county/district
Nfld.,2,,NFLD -- LABRADOR,15.4,16,16.3,16.8,16.6,16.9,17.3,17.5,17.7,52.9441986,-66.9156036,NFLD -- LABRADOR,"Labrador City, NL",,Bing Maps,city/town
P.E.I.,3,,PRINCE EDWARD ISLAND,11.8,12,11.9,11.8,11.9,12,11.4,10.6,9.8,46.6192513,-63.1351509,PRINCE EDWARD ISLAND,Prince Edward Island,,Bing Maps,state/province
N.S.,4,,EASTERN NOVA SCOTIA,14.2,14.3,15,14.7,14.7,14.8,15.1,15.5,14.7,46.6342697,-61.0091782,EASTERN NOVA SCOTIA,"Cheticamp, NS",,Bing Maps,city/town
N.S.,5,,WESTERN NOVA SCOTIA,10.7,10.2,10.2,10.5,11.1,11.3,11.3,11.1,11.4,45.5981522,-62.3676567,WESTERN NOVA SCOTIA,Nova Scotia,,Bing Maps,state/province
N.S.,6,,HALIFAX,6.9,6.8,6.7,6.3,6,5.7,5.4,5.7,5.8,44.649601,-63.5946999,HALIFAX,"Halifax, NS",,Bing Maps,city/town
N.B.,7,,FREDERICTON-MONCTON-SAINT JOHN,7.2,6.7,6.6,6.9,7.4,7.4,7.4,7.4,7.4,13.1667004,-59.4832993,FREDERICTON-MONCTON-SAINT JOHN,Saint John,,Bing Maps,state/province
N.B.,8,,MADAWASKA,11.9,11.9,11.1,10.7,10.7,10.8,10.5,10,9.9,47.3555183,-68.3240585,MADAWASKA,"Madawaska, ME",,Bing Maps,city/town
N.B.,9,,RESTIGOUCHE,16.2,16.5,16.9,16.7,16.7,16.9,16.7,16.4,14.9,47.9224968,-66.9657822,RESTIGOUCHE,Restigouche,,Bing Maps,River
Que.,10,,GASPÉSIE CANADA,16.8,17,17.1,17.7,17.5,17.5,16.9,15.7,15.3,48.6188545,-65.4492035,GASPÉSIE CANADA,"Gaspé Peninsula, QC",,Bing Maps,Peninsula
Que.,11,x,QUÉBEC CITY,5.1,4.6,4.3,4.3,4.7,5.1,5.5,5.7,5.8,46.8166656,-71.2166672,QUÉBEC CITY,Quebec City,,Bing Maps,HistoricalSite
Que.,12,,TROIS-RIVIÈRES,8.3,8.7,8.6,8.5,8.2,8.3,8.4,7.5,6.7,46.3833008,-72.6166992,TROIS-RIVIÈRES,Trois Rivieres,,Bing Maps,ScientificResearchBase
Que.,13,,SOUTH CENTRAL QUEBEC,5,4.8,5,4.8,5.1,5.1,5.5,5.6,5.6,53.7961121,-1.552778,SOUTH CENTRAL QUEBEC,Quebecs Hotel,,Bing Maps,TouristStructure
Que.,14,,SHERBROOKE,7.3,6.6,6.6,6.7,7.2,7.2,6.9,6.7,7.3,45.4021988,-71.9470978,SHEBROOKE CANADA,"Sherbrooke, QC",,Bing Maps,city/town
Que.,15,,MONTÉRÉGIE,7.1,7.2,7.3,7.7,8.2,7.8,7.8,7.2,7.2,45.3834,-73.0990982,MONTÉRÉGIE,Montérégie,,Bing Maps,county/district
Que.,16,,MONTRÉAL,8.2,8.1,8.2,8,8,8.1,8.5,8.9,8.7,45.5172005,-73.5498962,MONTRÉAL,"Montreal, QC",,Bing Maps,city/town
Que.,17,x,CENTRAL QUEBEC,7.7,8,8.4,8.6,8.5,8.4,8.1,8.1,7.8,,,,,,,
Que.,18,x,NORTH WESTERN QUEBEC,8.5,8.8,9.9,10.7,10.4,9.9,9.1,9.3,9,,,,,,,
Que.,19,,SAINT-LAURENT QUEBEC,9.6,10,10.4,10.4,10.1,10.1,10.6,10.4,9.9,46.860718,-71.005572,SAINT-LAURENT QUEBEC,"Saint-Laurent, PQ, CA",,MapQuest Open,city/town
Que.,20,,HULL QUEBEC,6.7,6.7,6.7,6.7,6.7,6.6,6.4,6.6,7,45.42597,-75.714902,HULL Quebec,"PQ, CA",,MapQuest Open,state/province
Que.,21,,CHICOUTIMI-JONQUIÈRE,7.5,7.5,8.4,9.4,10,9.8,9.7,9.6,9.4,,,,,,,
Ont.,22,,OTTAWA,6,6.3,6.4,6.4,6.7,6.7,6.8,6.3,6.6,45.3891983,-75.6880035,OTTAWA,"Ottawa, ON",,Bing Maps,city/town
Ont.,23,,EASTERN ONTARIO,7,7,7.4,7.7,7.7,7.7,7.3,7.3,7.6,50.0665398,-85.829277,EASTERN ONTARIO,Ontario,,Bing Maps,state/province
Ont.,24,x,KINGSTON ONTARIO,6.1,6.5,6.4,6.6,6.6,6.9,6.5,6.3,6.8,44.2315292,-76.479332,KINGSTON ONTARIO,"Kingston, ON",,Bing Maps,city/town
Ont.,25,,CENTRAL ONTARIO,7.3,7.9,8.3,8.9,8.9,8.6,7.7,7.4,7,43.2621231,-79.8725281,CENTRAL ONTARIO,"Central, ON",,Bing Maps,Neighborhood
Ont.,26,,OSHAWA,7.1,7.3,7.5,7.2,7.1,7.3,7.3,7.5,7.7,43.9057007,-78.8237991,OSHAWA,"Oshawa, ON",,Bing Maps,city/town
Ont.,27,,TORONTO,8.4,8.3,8.3,8,7.8,7.6,7.8,8.1,8.3,43.6573982,-79.4328003,TORONTO,"Toronto, ON",,Bing Maps,city/town
Ont.,28,,HAMILTON,6.6,6,5.9,5.8,6.4,6.8,7.2,6.7,6.2,43.2354012,-79.8880005,HAMILTON,"Hamilton, ON",,Bing Maps,city/town
Ont.,29,,ST. CATHARINES,8.6,8.6,8.4,8.4,8.3,8,7.9,7.8,7.9,43.1381989,-79.2254028,ST. CATHARINES,"St Catharines, ON",,Bing Maps,city/town
Ont.,30,x,LONDON ONTARIO,7.8,8,8.1,8.2,8,7.6,7.6,7.6,7.9,42.9868889,-81.2462082,LONDON ONTARIO,"London, ON",,Bing Maps,city/town
