Lat	Long	Data_id	Region	PROVINCE	CODE	EI ECONOMIC NAME	JANUARY 8 to FEBRUARY 4	FEBRUARY 5 to MARCH 10	MARCH 11 to APRIL 7	APRIL 8 to MAY 12	MAY 13 to JUNE 9	JUNE 10 to JULY 7	JULY 8 to AUGUST 11	AUGUST 12 to SEPTEMBER 8	SEPTEMBER 9 to OCTOBER 6	desc	source	precision
29.9078503	-81.3842392	2	ST. JOHN'S	Nfld.	1	ST. JOHN'S	6	5.6	5.4	5.1	5.8	6.3	6.7	6.6	6.6	St Johns	Bing Maps	county/district
52.9441986	-66.9156036	2	NFLD -- LABRADOR	Nfld.	2	NFLD -- LABRADOR	15.4	16	16.3	16.8	16.6	16.9	17.3	17.5	17.7	Labrador City, NL	Bing Maps	city/town
46.6192513	-63.1351509	2	PRINCE EDWARD ISLAND	P.E.I.	3	PRINCE EDWARD ISLAND	11.8	12	11.9	11.8	11.9	12	11.4	10.6	9.8	Prince Edward Island	Bing Maps	state/province
46.6342697	-61.0091782	2	EASTERN NOVA SCOTIA	N.S.	4	EASTERN NOVA SCOTIA	14.2	14.3	15	14.7	14.7	14.8	15.1	15.5	14.7	Cheticamp, NS	Bing Maps	city/town
45.5981522	-62.3676567	2	WESTERN NOVA SCOTIA	N.S.	5	WESTERN NOVA SCOTIA	10.7	10.2	10.2	10.5	11.1	11.3	11.3	11.1	11.4	Nova Scotia	Bing Maps	state/province
44.649601	-63.5946999	2	HALIFAX	N.S.	6	HALIFAX	6.9	6.8	6.7	6.3	6	5.7	5.4	5.7	5.8	Halifax, NS	Bing Maps	city/town
13.1667004	-59.4832993	2	FREDERICTON-MONCTON-SAINT JOHN	N.B.	7	FREDERICTON-MONCTON-SAINT JOHN	7.2	6.7	6.6	6.9	7.4	7.4	7.4	7.4	7.4	Saint John	Bing Maps	state/province
47.3555183	-68.3240585	2	MADAWASKA	N.B.	8	MADAWASKA	11.9	11.9	11.1	10.7	10.7	10.8	10.5	10	9.9	Madawaska, ME	Bing Maps	city/town
47.9224968	-66.9657822	2	RESTIGOUCHE	N.B.	9	RESTIGOUCHE	16.2	16.5	16.9	16.7	16.7	16.9	16.7	16.4	14.9	Restigouche	Bing Maps	River
48.6188545	-65.4492035	2	GASP�SIE CANADA	Que.	10	GASP�SIE CANADA	16.8	17	17.1	17.7	17.5	17.5	16.9	15.7	15.3	Gasp� Peninsula, QC	Bing Maps	Peninsula
46.8166656	-71.2166672	2	QU�BEC CITY	Que.	11	QU�BEC CITY	5.1	4.6	4.3	4.3	4.7	5.1	5.5	5.7	5.8	Quebec City	Bing Maps	HistoricalSite
46.3833008	-72.6166992	2	TROIS-RIVI�RES	Que.	12	TROIS-RIVI�RES	8.3	8.7	8.6	8.5	8.2	8.3	8.4	7.5	6.7	Trois Rivieres	Bing Maps	ScientificResearchBase
53.7961121	-1.552778	2	SOUTH CENTRAL QUEBEC	Que.	13	SOUTH CENTRAL QUEBEC	5	4.8	5	4.8	5.1	5.1	5.5	5.6	5.6	Quebecs Hotel	Bing Maps	TouristStructure
45.4021988	-71.9470978	2	SHEBROOKE CANADA	Que.	14	SHERBROOKE	7.3	6.6	6.6	6.7	7.2	7.2	6.9	6.7	7.3	Sherbrooke, QC	Bing Maps	city/town
45.3834	-73.0990982	2	MONT�R�GIE	Que.	15	MONT�R�GIE	7.1	7.2	7.3	7.7	8.2	7.8	7.8	7.2	7.2	Mont�r�gie	Bing Maps	county/district
45.5172005	-73.5498962	2	MONTR�AL	Que.	16	MONTR�AL	8.2	8.1	8.2	8	8	8.1	8.5	8.9	8.7	Montreal, QC	Bing Maps	city/town
		2		Que.	17	CENTRAL QUEBEC	7.7	8	8.4	8.6	8.5	8.4	8.1	8.1	7.8			
		2		Que.	18	NORTH WESTERN QUEBEC	8.5	8.8	9.9	10.7	10.4	9.9	9.1	9.3	9			
46.860718	-71.005572	2	SAINT-LAURENT QUEBEC	Que.	19	SAINT-LAURENT QUEBEC	9.6	10	10.4	10.4	10.1	10.1	10.6	10.4	9.9	Saint-Laurent, PQ, CA	MapQuest Open	city/town
45.42597	-75.714902	2	HULL Quebec	Que.	20	HULL QUEBEC	6.7	6.7	6.7	6.7	6.7	6.6	6.4	6.6	7	PQ, CA	MapQuest Open	state/province
		2		Que.	21	CHICOUTIMI-JONQUI�RE	7.5	7.5	8.4	9.4	10	9.8	9.7	9.6	9.4			
45.3891983	-75.6880035	2	OTTAWA	Ont.	22	OTTAWA	6	6.3	6.4	6.4	6.7	6.7	6.8	6.3	6.6	Ottawa, ON	Bing Maps	city/town
50.0665398	-85.829277	2	EASTERN ONTARIO	Ont.	23	EASTERN ONTARIO	7	7	7.4	7.7	7.7	7.7	7.3	7.3	7.6	Ontario	Bing Maps	state/province
44.2315292	-76.479332	2	KINGSTON ONTARIO	Ont.	24	KINGSTON ONTARIO	6.1	6.5	6.4	6.6	6.6	6.9	6.5	6.3	6.8	Kingston, ON	Bing Maps	city/town
43.2621231	-79.8725281	2	CENTRAL ONTARIO	Ont.	25	CENTRAL ONTARIO	7.3	7.9	8.3	8.9	8.9	8.6	7.7	7.4	7	Central, ON	Bing Maps	Neighborhood
43.9057007	-78.8237991	2	OSHAWA	Ont.	26	OSHAWA	7.1	7.3	7.5	7.2	7.1	7.3	7.3	7.5	7.7	Oshawa, ON	Bing Maps	city/town
43.6573982	-79.4328003	2	TORONTO	Ont.	27	TORONTO	8.4	8.3	8.3	8	7.8	7.6	7.8	8.1	8.3	Toronto, ON	Bing Maps	city/town
43.2354012	-79.8880005	2	HAMILTON	Ont.	28	HAMILTON	6.6	6	5.9	5.8	6.4	6.8	7.2	6.7	6.2	Hamilton, ON	Bing Maps	city/town
43.1381989	-79.2254028	2	ST. CATHARINES	Ont.	29	ST. CATHARINES	8.6	8.6	8.4	8.4	8.3	8	7.9	7.8	7.9	St Catharines, ON	Bing Maps	city/town
42.9868889	-81.2462082	2	LONDON ONTARIO	Ont.	30	LONDON ONTARIO	7.8	8	8.1	8.2	8	7.6	7.6	7.6	7.9	London, ON	Bing Maps	city/town
43.0847893	-79.0703278	2	NIAGARA	Ont.	31	NIAGARA	8.3	8.4	9.1	9	8.8	8.3	8.1	8.3	8.4	Niagara Falls	Bing Maps	Waterfall
42.3153	-83.0157013	2	WINDSOR ONTARIO	Ont.	32	WINDSOR ONTARIO	7.6	6.7	7.4	7.7	9	9.1	9.3	8.9	9.1	Windsor, ON	Bing Maps	city/town
43.471199	-80.4869003	2	KITCHENER	Ont.	33	KITCHENER	6.7	6.6	6.6	6.7	6.8	6.6	6.4	6.3	6.5	Kitchener, ON	Bing Maps	city/town
44.7760239	-82.2044678	2	HURON	Ont.	34	HURON	7.7	7.6	7.7	7.5	7.7	7.6	7.9	7.6	7.6	Lake Huron	Bing Maps	Lake
42.2997169	-83.0283203	2	SOUTH CENTRAL ONTARIO	Ont.	35	SOUTH CENTRAL ONTARIO	6.4	5.9	5.9	5.7	5.9	5.8	5.8	5.5	5	South Central, ON	Bing Maps	Neighborhood
46.4895897	-80.9901123	2	SUDBURY ONTARIO	Ont.	36	SUDBURY ONTARIO	6.9	6.8	6.8	6.5	5.9	6.3	6.7	6.8	6.4	Greater Sudbury, ON	Bing Maps	city/town
48.381691	-89.2454987	2	THUNDER BAY	Ont.	37	THUNDER BAY	6.3	5.9	5.8	6.1	6	6	5.4	5.1	4.9	Thunder Bay, ON	Bing Maps	city/town
44	-80	2	NORTHERN ONTARIO	Ont.	38	NORTHERN ONTARIO	12.3	12.9	12.8	12.6	11.9	11.6	11.5	11.6	12.1	Southern Ontario	Bing Maps	Peninsula
52.148941	-97.7184601	2	WINNIPEG	Man.	39	WINNIPEG	5.8	5.9	5.7	5.7	5.8	5.9	5.8	5.7	6	Lake Winnipeg, MB	Bing Maps	Lake
49.5499992	-98.0400009	2	SOUTHERN MANITOBA	Man.	40	SOUTHERN MANITOBA	5.9	6	6.2	6.4	6.5	6.4	6.3	6	5.7	Southern Manitoba	Bing Maps	Region
56	-97	2	NORTHERN MANITOBA	Man.	41	NORTHERN MANITOBA	32.1	32	32.2	32.2	31.9	31.8	31.8	31.8	32	Northern Region	Bing Maps	Region
50.4660988	-104.6269989	2	REGINA	Sask.	42	REGINA	4	4.2	4	3.9	3.7	3.6	3.6	3.3	3.2	Regina, SK	Bing Maps	city/town
52.1072998	-106.6350021	2	SASKATOON	Sask.	43	SASKATOON	4.2	4.3	4.5	4.7	4.5	4.2	3.8	3.6	4.4	Saskatoon, SK	Bing Maps	city/town
54.4185829	-105.8888474	2	SOUTHERN SASKATCHEWAN	Sask.	44	SOUTHERN SASKATCHEWAN	5.8	6.1	6.3	6.7	6.5	6.4	6.1	6	5.9	Saskatchewan	Bing Maps	state/province
54.4185829	-105.8888474	2	NORTHERN SASKATCHEWAN	Sask.	45	NORTHERN SASKATCHEWAN	17	16.9	16.3	16.5	16.4	16.7	16.6	17	17	Saskatchewan	Bing Maps	state/province
51.0452194	-114.0630188	2	CALGARY	Alb.	46	CALGARY	4.7	4.8	4.8	5.1	5.4	5.5	5.5	5.3	5.5	Calgary, AB	Bing Maps	city/town
53.4538002	-113.5090027	2	EDMONTON ALBERTA	Alb.	47	EDMONTON ALBERTA	5.5	5.6	5.3	5	5	5.3	5.6	5.6	5.7	Edmonton, AB	Bing Maps	city/town
57	-115	2	NORTHERN ALBERTA	Alb.	48	NORTHERN ALBERTA	8.1	8.2	8.7	9	8.9	7.8	7.5	7.8	8.6	Northern Alberta	Bing Maps	Region
50	-112	2	SOUTHERN ALBERTA	Alb.	49	SOUTHERN ALBERTA	5.1	5.2	5.2	5.1	4.9	4.8	4.7	4.6	4.8	Southern Alberta	Bing Maps	Region
54.5618629	-125.1040573	2	SOUTHERN INTERIOR BRITISH COLUMBIA	B.C.	50	SOUTHERN INTERIOR BRITISH COLUMBIA	8.8	8.9	8.9	8.6	8.3	7.9	7.8	7.4	7.2	British Columbia	Bing Maps	state/province
49.0502014	-122.288002	2	ABBOTSFORD	B.C.	51	ABBOTSFORD	8.1	8.2	8.5	8.2	7.7	7.6	7.7	8.2	8.3	Abbotsford, BC	Bing Maps	city/town
49.2811012	-123.0439987	2	VANCOUVER	B.C.	52	VANCOUVER	6.7	6.5	6.3	6	5.7	5.6	5.6	5.7	5.8	Vancouver, BC	Bing Maps	city/town
48.4389	-123.3960037	2	VICTORIA BRITISH COLUMBIA	B.C.	53	VICTORIA BRITISH COLUMBIA	5.4	5.7	6.1	6.1	5.9	6	6	6	6.1	Victoria, BC	Bing Maps	city/town
54.5618629	-125.1040573	2	SOUTHERN COASTAL BRITISH COLUMBIA	B.C.	54	SOUTHERN COASTAL BRITISH COLUMBIA	9.7	9.2	8.7	8.2	7.9	7.9	8.3	8.9	9.2	British Columbia	Bing Maps	state/province
53.8910484	-122.8137817	2	NORTHERN BRITISH COLUMBIA	B.C.	55	NORTHERN BRITISH COLUMBIA	10.5	11.1	11.6	11.6	11.6	11.8	11.5	11.4	10.9	Univ of Northern British Columbia, BC	Bing Maps	HigherEducationFacility
63.6441269	-135.5177155	2	YUKON	TERRITORIES	56	YUKON	25	25	25	25	25	25	25	25	25	Yukon	Bing Maps	state/province
67.2751236	-118.8635559	2	NORTHWEST TERRITORIES	TERRITORIES	57	NORTHWEST TERRITORIES	25	25	25	25	25	25	25	25	25	Northwest Territories	Bing Maps	state/province
69.4296112	-88.6416321	2	NUNAVUT	TERRITORIES	58	NUNAVUT	25	25	25	25	25	25	25	25	25	Nunavut	Bing Maps	state/province
